Id2,Geography,Total_Male,Male_LHS,Male_HS,Male_College,Male_Bachelors,Male_Graduate,Total_Female,Female_LHS,Female_HS,Female_College,Female_Bachelors,Female_Graduate
36005023502,"Census Tract 235.02, Bronx County, New York",16384,14940,17031,-,26042,62313,17534,15986,13553,23718,-,-
36005023600,"Census Tract 236, Bronx County, New York",35280,16900,34563,49750,80357,-,15430,10938,16848,-,-,82375
36005023702,"Census Tract 237.02, Bronx County, New York",24563,23938,30040,19083,-,-,28125,21618,30556,29167,-,-
36005023703,"Census Tract 237.03, Bronx County, New York",24594,22285,40556,24444,26509,-,17246,13000,18313,27563,41779,40855
36005023704,"Census Tract 237.04, Bronx County, New York",19808,16862,16610,17328,40594,-,17435,7917,20777,18403,38108,-
36005023800,"Census Tract 238, Bronx County, New York",30250,18625,36250,33542,82639,-,23125,10815,28750,26250,27446,21016
36005023900,"Census Tract 239, Bronx County, New York",26002,15163,28589,26928,36700,-,17721,12212,14496,28566,26422,-
36005024000,"Census Tract 240, Bronx County, New York",24241,20531,-,27132,-,-,21906,20603,21192,25809,30227,-
36005024100,"Census Tract 241, Bronx County, New York",22721,17813,26375,23214,24300,11518,22164,-,22262,20772,41500,-
36005024300,"Census Tract 243, Bronx County, New York",29430,21955,30676,41538,-,-,19138,12292,20858,25598,-,-
36005024400,"Census Tract 244, Bronx County, New York",51027,39583,31667,52885,53571,111797,38625,14896,36806,43304,41016,48750
36005024501,"Census Tract 245.01, Bronx County, New York",22034,20571,23190,13750,-,-,17198,13112,-,15117,36786,-
36005024502,"Census Tract 245.02, Bronx County, New York",28750,30223,27059,34609,-,-,20155,17043,12557,40682,34722,-
36005024600,"Census Tract 246, Bronx County, New York",47466,-,45777,45473,51818,93750,40667,15132,24524,51848,45536,79688
36005024700,"Census Tract 247, Bronx County, New York",41235,42361,40976,41471,-,-,31895,35577,21579,30217,56500,63125
36005024800,"Census Tract 248, Bronx County, New York",45182,-,35380,47266,51379,62969,50714,-,34167,48690,60000,56118
36005024900,"Census Tract 249, Bronx County, New York",-,-,-,-,-,-,-,-,-,-,-,-
36005025000,"Census Tract 250, Bronx County, New York",42031,-,39306,41167,-,80156,41966,-,40208,-,46302,80529
36005025100,"Census Tract 251, Bronx County, New York",21771,14026,-,29490,46786,-,22257,19286,20313,21944,39613,-
36005025200,"Census Tract 252, Bronx County, New York",37357,25089,36932,41917,40179,70972,50893,-,46500,41923,58000,59813
36005025300,"Census Tract 253, Bronx County, New York",22388,20830,23462,25089,42647,28030,19716,15662,24297,26129,25605,-
36005025400,"Census Tract 254, Bronx County, New York",41856,42321,34306,40714,52143,47813,31917,-,21359,27059,47692,54375
36005025500,"Census Tract 255, Bronx County, New York",21096,17529,35208,20625,8341,-,20246,15288,-,22574,-,-
36005025600,"Census Tract 256, Bronx County, New York",39135,33750,50722,27188,40227,48456,36397,35956,27120,34554,50139,54063
36005025700,"Census Tract 257, Bronx County, New York",27935,-,-,27663,45069,-,25691,14492,26429,25766,51818,-
36005026100,"Census Tract 261, Bronx County, New York",62679,42083,56250,53958,66912,88750,58289,-,-,63958,52500,60956
