GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Less than high school graduate,Margin of Error; Total: - Male: - Less than high school graduate,Estimate; Total: - Male: - High school graduate (includes equivalency),Margin of Error; Total: - Male: - High school graduate (includes equivalency),Estimate; Total: - Male: - Some college or associate's degree,Margin of Error; Total: - Male: - Some college or associate's degree,Estimate; Total: - Male: - Bachelor's degree,Margin of Error; Total: - Male: - Bachelor's degree,Estimate; Total: - Male: - Graduate or professional degree,Margin of Error; Total: - Male: - Graduate or professional degree,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Less than high school graduate,Margin of Error; Total: - Female: - Less than high school graduate,Estimate; Total: - Female: - High school graduate (includes equivalency),Margin of Error; Total: - Female: - High school graduate (includes equivalency),Estimate; Total: - Female: - Some college or associate's degree,Margin of Error; Total: - Female: - Some college or associate's degree,Estimate; Total: - Female: - Bachelor's degree,Margin of Error; Total: - Female: - Bachelor's degree,Estimate; Total: - Female: - Graduate or professional degree,Margin of Error; Total: - Female: - Graduate or professional degree
1400000US36119004100,36119004100,"Census Tract 41, Westchester County, New York",40868,4601,15795,14183,25657,6748,35684,11796,69375,8798,82250,35209,41305,6813,21215,12181,26250,16660,40601,15588,73192,14276,69875,40590,39659,9487,8125,3844,25590,13174,31595,10580,67760,8435,98750,33818
1400000US36119004200,36119004200,"Census Tract 42, Westchester County, New York",32391,8839,11720,5050,28873,13997,25779,23412,58672,25261,59417,26385,37228,14170,-,**,-,**,-,**,66970,55129,68000,36767,31369,5252,-,**,28238,7647,37125,16236,36671,13162,58250,46929
1400000US36119004300,36119004300,"Census Tract 43, Westchester County, New York",49375,12244,-,**,30288,17734,-,**,75417,47814,51985,23677,68438,24852,-,**,-,**,68854,27980,96364,43808,56250,36253,42039,9137,-,**,31442,12254,21858,8757,50500,26061,51042,33357
1400000US36119004400,36119004400,"Census Tract 44, Westchester County, New York",63796,13524,18843,2678,27386,10010,37451,22980,80804,30161,114375,17193,61837,18647,-,**,32012,15915,36800,13650,77344,40714,120750,28377,66833,35730,-,**,22561,1260,83750,36226,86250,43937,94946,48634
1400000US36119004500,36119004500,"Census Tract 45, Westchester County, New York",63906,6332,16450,946,61417,47790,61452,5321,56781,6704,80500,17047,61014,5976,-,**,-,**,60685,4629,56630,12611,74732,53874,69250,7386,-,**,61333,10721,66188,15125,56985,15148,85521,23533
1400000US36119004600,36119004600,"Census Tract 46, Westchester County, New York",110705,12564,-,**,33750,12727,35492,6879,110819,14658,144554,49993,105446,29387,-,**,37679,26592,35682,5003,96625,43646,210417,89555,111940,17086,-,**,33571,20230,-,**,111983,17670,140903,17015
1400000US36119004700,36119004700,"Census Tract 47, Westchester County, New York",155250,39050,-,**,51058,39373,43594,20744,156625,63184,231250,67571,"250,000+",***,-,**,77961,41963,43958,35243,"250,000+",***,"250,000+",***,62083,12947,-,**,22500,3602,-,**,82794,18023,72917,42343
1400000US36119004800,36119004800,"Census Tract 48, Westchester County, New York",53427,5918,31111,2451,50087,15420,40670,16760,60532,11152,70333,25706,66741,15834,-,**,50538,18442,84000,55758,65506,8632,92016,16387,50757,4837,-,**,45333,27285,29750,22413,52237,22036,57131,5453
1400000US36119004900,36119004900,"Census Tract 49, Westchester County, New York",67353,9262,-,**,53043,5977,58000,9206,70806,18222,93077,17722,72849,12591,-,**,53451,10243,70673,50949,99417,23107,112831,36982,60972,6345,-,**,-,**,57611,12500,57763,14985,84267,16840
1400000US36119005001,36119005001,"Census Tract 50.01, Westchester County, New York",66667,18482,22738,4984,37195,8096,51250,12510,99000,22666,119625,30217,104091,13594,-,**,42063,31467,50568,18466,118281,46252,147273,48556,52061,15160,-,**,28516,6231,52000,35717,61616,17605,70781,27693
